dataset_index,sample_id,id,source_row_index,Eg,A_group,B_group,X_group,composition_family,halide_group,A_site_group
71,train_73,73,73,1.544,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
74,train_76,76,76,1.27,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
82,train_84,84,84,1.56,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
87,train_89,89,89,1.5,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
88,train_90,90,90,1.51,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
90,train_92,92,92,1.58,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
95,train_97,97,97,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
98,train_100,100,100,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
100,train_102,102,102,1.652,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
104,train_106,106,106,1.589,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
106,train_108,108,108,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
110,train_112,112,112,1.24,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
113,train_115,115,115,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
118,train_120,120,120,1.872,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
124,train_126,126,126,1.42,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
125,train_127,127,127,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
126,train_128,128,128,1.717,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
129,train_131,131,131,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
130,train_132,132,132,2.153,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
135,train_137,137,137,1.54,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
141,train_143,143,143,1.8,MA_rich,mixed_B,Br_rich,MA_rich__mixed_B__Br_rich,Br_rich,MA_rich
143,train_145,145,145,1.59,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
147,train_149,149,149,1.577,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
150,train_152,152,152,2.03,MA_rich,mixed_B,Br_rich,MA_rich__mixed_B__Br_rich,Br_rich,MA_rich
155,train_158,158,158,1.671,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
156,train_159,159,159,1.29,MA_rich,mixed_B,Br_rich,MA_rich__mixed_B__Br_rich,Br_rich,MA_rich
158,train_161,161,161,1.72,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
159,train_162,162,162,1.64,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
160,train_163,163,163,1.694,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
161,train_164,164,164,1.858,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
162,train_165,165,165,1.204,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
165,train_168,168,168,1.586,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
167,train_170,170,170,2.64,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
169,train_172,172,172,1.55,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
171,train_174,174,174,1.601,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
174,train_177,177,177,1.53,MA_rich,mixed_B,mixed_halide,MA_rich__mixed_B__mixed_halide,mixed_halide,MA_rich
176,train_180,180,180,1.71,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
179,train_183,183,183,1.26,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
181,train_185,185,185,1.63,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
182,train_186,186,186,2.154,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
186,train_190,190,190,1.641,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
192,train_196,196,196,1.26,MA_rich,mixed_B,mixed_halide,MA_rich__mixed_B__mixed_halide,mixed_halide,MA_rich
195,train_199,199,199,1.516,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
198,train_202,202,202,1.5,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
199,train_203,203,203,1.71,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
200,train_204,204,204,1.989,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
202,train_206,206,206,1.781,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
215,train_220,220,220,1.72,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
219,train_224,224,224,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
229,train_235,235,235,2.83,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
232,train_238,238,238,1.603,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
234,train_240,240,240,1.79,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
236,train_242,242,242,1.588,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
238,train_244,244,244,1.627,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
239,train_245,245,245,1.28,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
240,train_246,246,246,1.3,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
242,train_248,248,248,1.61,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
245,train_251,251,251,1.9,MA_rich,mixed_B,Br_rich,MA_rich__mixed_B__Br_rich,Br_rich,MA_rich
248,train_254,254,254,2.141,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
249,train_255,255,255,1.57,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
250,train_256,256,256,1.51,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
252,train_258,258,258,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
254,train_260,260,260,1.58,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
255,train_261,261,261,1.583,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
262,train_268,268,268,1.562,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
263,train_269,269,269,1.31,MA_rich,Sn_rich,I_rich,MA_rich__Sn_rich__I_rich,I_rich,MA_rich
265,train_271,271,271,1.82,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
266,train_272,272,272,1.27,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
273,train_279,279,279,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
276,train_282,282,282,1.677,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
278,train_284,284,284,1.17,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
280,train_286,286,286,3.16,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
287,train_293,293,293,1.61,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
290,train_296,296,296,1.87,MA_rich,Sn_rich,Cl_containing,MA_rich__Sn_rich__Cl_containing,Cl_containing,MA_rich
291,train_297,297,297,1.27,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
293,train_299,299,299,1.606,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
296,train_302,302,302,2.69,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
300,train_306,306,306,2.23,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
302,train_308,308,308,1.604,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
304,train_310,310,310,1.99,MA_rich,mixed_B,Br_rich,MA_rich__mixed_B__Br_rich,Br_rich,MA_rich
308,train_314,314,314,2.033,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
309,train_315,315,315,1.62,MA_rich,Sn_rich,Br_rich,MA_rich__Sn_rich__Br_rich,Br_rich,MA_rich
314,train_320,320,320,1.764,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
315,train_321,321,321,1.654,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
321,train_327,327,327,1.82,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
322,train_328,328,328,1.6,MA_rich,Sn_rich,mixed_halide,MA_rich__Sn_rich__mixed_halide,mixed_halide,MA_rich
324,train_330,330,330,1.44,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
325,train_331,331,331,1.556,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
330,train_337,337,337,2.28,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
331,train_338,338,338,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
334,train_341,341,341,1.503,MA_rich,Sn_rich,mixed_halide,MA_rich__Sn_rich__mixed_halide,mixed_halide,MA_rich
337,train_344,344,344,1.25,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
342,train_349,349,349,2.98,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
344,train_351,351,351,1.22,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
345,train_352,352,352,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
347,train_354,354,354,1.5,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
350,train_357,357,357,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
351,train_358,358,358,1.25,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
352,train_359,359,359,2.46,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
354,train_361,361,361,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
355,train_362,362,362,1.311,MA_rich,Sn_rich,I_rich,MA_rich__Sn_rich__I_rich,I_rich,MA_rich
357,train_364,364,364,1.65,MA_rich,mixed_B,Br_rich,MA_rich__mixed_B__Br_rich,Br_rich,MA_rich
358,train_365,365,365,1.68,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
361,train_368,368,368,1.54,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
362,train_369,369,369,1.39,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
363,train_370,370,370,1.5,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
365,train_372,372,372,1.553,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
366,train_373,373,373,1.566,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
367,train_374,374,374,1.48,MA_rich,mixed_B,mixed_halide,MA_rich__mixed_B__mixed_halide,mixed_halide,MA_rich
368,train_375,375,375,1.97,MA_rich,Sn_rich,Cl_containing,MA_rich__Sn_rich__Cl_containing,Cl_containing,MA_rich
369,train_376,376,376,1.39,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
373,train_380,380,380,2.19,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
374,train_381,381,381,1.612,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
376,train_383,383,383,2.288,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
377,train_384,384,384,1.76,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
379,train_386,386,386,1.58,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
382,train_389,389,389,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
384,train_391,391,391,1.64,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
386,train_393,393,393,2.81,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
387,train_394,394,394,1.715,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
388,train_395,395,395,1.6,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
389,train_396,396,396,2.3,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
406,train_413,413,413,1.66,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
408,train_415,415,415,1.833,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
409,train_416,416,416,1.59,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
415,train_423,423,423,2.01,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
423,train_431,431,431,1.751,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
424,train_432,432,432,1.48,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
428,train_437,437,437,1.57,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
432,train_441,441,441,1.59,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
436,train_445,445,445,2.161,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
438,train_447,447,447,1.625,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
441,train_450,450,450,1.68,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
442,train_451,451,451,2.88,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
443,train_452,452,452,1.55,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
450,train_459,459,459,1.56,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
452,train_461,461,461,1.27,MA_rich,mixed_B,Br_rich,MA_rich__mixed_B__Br_rich,Br_rich,MA_rich
458,train_467,467,467,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
459,train_468,468,468,1.791,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
464,train_474,474,474,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
466,train_476,476,476,1.278,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
471,train_481,481,481,1.924,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
473,train_483,483,483,1.38,MA_rich,Sn_rich,I_rich,MA_rich__Sn_rich__I_rich,I_rich,MA_rich
476,train_486,486,486,1.2,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
477,train_487,487,487,1.82,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
480,train_490,490,490,1.75,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
481,train_491,491,491,1.855,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
482,train_492,492,492,1.77,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
486,train_496,496,496,2.57,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
487,train_497,497,497,1.55,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
489,train_499,499,499,1.69,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
490,train_500,500,500,1.26,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
491,train_501,501,501,1.29,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
492,train_502,502,502,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
493,train_503,503,503,1.43,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
494,train_504,504,504,1.18,MA_rich,Sn_rich,I_rich,MA_rich__Sn_rich__I_rich,I_rich,MA_rich
497,train_507,507,507,1.26,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
502,train_512,512,512,2.11,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
504,train_515,515,515,3.13,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
